index,image_link,group_id,entity_name,description
0,https://m.media-amazon.com/images/I/41-NCxNuBxL.jpg,658003,width, 20CM 15CM
1,https://m.media-amazon.com/images/I/41-NCxNuBxL.jpg,658003,depth, 20CM 15CM
2,https://m.media-amazon.com/images/I/417NJrPEk+L.jpg,939426,maximum_weight_recommendation," Deodorizing module Cat litter shovel Adsorb harmful substances and reduce odor Regardless of soil sand, wood sand, crystal sand, flter unused cat litter IIII"
3,https://m.media-amazon.com/images/I/417SThj+SrL.jpg,276700,voltage, Professional tools Blade Diameter. 305mm Rated Voltage: 220V Frequency: SOHZ Rated Input Power 2100W No Load Speed: 3700rpm Max Cutting Capacity 90H102x W330mm Max Cutting Capacity 60H60xW160 Max Cutting Capacity 45H60xW220mm
4,https://m.media-amazon.com/images/I/417SThj+SrL.jpg,276700,wattage, Professional tools Blade Diameter. 305mm Rated Voltage: 220V Frequency: SOHZ Rated Input Power 2100W No Load Speed: 3700rpm Max Cutting Capacity 90H102x W330mm Max Cutting Capacity 60H60xW160 Max Cutting Capacity 45H60xW220mm
5,https://m.media-amazon.com/images/I/41ADVPQgZOL.jpg,993359,item_weight, Calabrian Chili Powder 295
6,https://m.media-amazon.com/images/I/41nblnEkJ3L.jpg,648011,voltage, LED OSRAM 5.5w=40w 470lm White Warm B22d
7,https://m.media-amazon.com/images/I/41nblnEkJ3L.jpg,648011,wattage, LED OSRAM 5.5w=40w 470lm White Warm B22d
8,https://m.media-amazon.com/images/I/41o3iis9E7L.jpg,487566,height, Ideal Bed & Armchair Cover Neat size foldaway Reversible; black on one side & grey on the other 90 in 229 cm Sturdy &lightweight 63 in 2.6 lbs/1.2 kg 160 cm
9,https://m.media-amazon.com/images/I/41pvwR9GbaL.jpg,965518,voltage, DAKLAR E20V204 LED WORK LIGHT for Dark Areas
10,https://m.media-amazon.com/images/I/41uwo4PVnuL.jpg,640565,depth," 4"" 0.2"""
11,https://m.media-amazon.com/images/I/41uwo4PVnuL.jpg,640565,width," 4"" 0.2"""
12,https://m.media-amazon.com/images/I/41ygXRvf8lL.jpg,752266,depth, 50cm 8cm
13,https://m.media-amazon.com/images/I/41ygXRvf8lL.jpg,752266,height, 50cm 8cm
14,https://m.media-amazon.com/images/I/41zgjN+zW3L.jpg,359286,item_weight," 44"" 7"" 6.75 LBS"
15,https://m.media-amazon.com/images/I/51+oHGvSvuL.jpg,442321,depth," Desktop Size 40"" 24"" min.28""- max.47.6"" "
16,https://m.media-amazon.com/images/I/51+oHGvSvuL.jpg,442321,width," Desktop Size 40"" 24"" min.28""- max.47.6"" "
17,https://m.media-amazon.com/images/I/51-WIOx5pxL.jpg,178778,depth, 6.2 in/16 cm 9.4 in/24cm
18,https://m.media-amazon.com/images/I/51-WIOx5pxL.jpg,178778,height, 6.2 in/16 cm 9.4 in/24cm
19,https://m.media-amazon.com/images/I/510xYFNYQ8L.jpg,683885,depth, Width 1 C.M. Length 9 Meter
20,https://m.media-amazon.com/images/I/510xYFNYQ8L.jpg,683885,height, Width 1 C.M. Length 9 Meter
21,https://m.media-amazon.com/images/I/510xYFNYQ8L.jpg,683885,depth, Width 1 C.M. Length 9 Meter
22,https://m.media-amazon.com/images/I/514bY8c4ZIL.jpg,752266,width, 69cm/27.2inch
23,https://m.media-amazon.com/images/I/514bY8c4ZIL.jpg,752266,depth, 69cm/27.2inch
24,https://m.media-amazon.com/images/I/514pScQdlCL.jpg,997176,voltage," 12VCar Heating Cup Powered by DC 12V cigarettelighter piug power source,built-in fuse,effectively prevent electrical overload,universal for 12V power source cars"
25,https://m.media-amazon.com/images/I/514pScQdlCL.jpg,997176,wattage," 12VCar Heating Cup Powered by DC 12V cigarettelighter piug power source,built-in fuse,effectively prevent electrical overload,universal for 12V power source cars"
26,https://m.media-amazon.com/images/I/51BEuVR4ZzL.jpg,695925,width, to 70 110c X cm cm
27,https://m.media-amazon.com/images/I/51BEuVR4ZzL.jpg,695925,height, to 70 110c X cm cm
28,https://m.media-amazon.com/images/I/51EBBqNOJ1L.jpg,483370,width, 7.8inch
29,https://m.media-amazon.com/images/I/51EBBqNOJ1L.jpg,483370,depth, 7.8inch
30,https://m.media-amazon.com/images/I/51EBBqNOJ1L.jpg,483370,height, 7.8inch
31,https://m.media-amazon.com/images/I/51FSlaVlejL.jpg,150535,height, 30 cm 15 cm
32,https://m.media-amazon.com/images/I/51H+mX2Wk7L.jpg,609588,width, 18cm/7.09in 5cm/1.97in 73cm/28.7in
33,https://m.media-amazon.com/images/I/51H+mX2Wk7L.jpg,609588,depth, 18cm/7.09in 5cm/1.97in 73cm/28.7in
34,https://m.media-amazon.com/images/I/51KykmLgc0L.jpg,969033,maximum_weight_recommendation, Our Faux-Leather & TexturedVelvet fabrics are durable as they are soft Cushion covers are removable and machine washable Easy to spot clean all other surfaces Foam cushion for comfort and support Toggle and loop secures cushion from sliding FOR LARGE DOGS UP TO Eochamd Hom 75 PET Maxwell Sofa bs
35,https://m.media-amazon.com/images/I/51P0IuT6RsL.jpg,452717,maximum_weight_recommendation, RUBBER 50 THIN HANGERS
36,https://m.media-amazon.com/images/I/51Su6zXkAsL.jpg,362818,depth, 11.4cm 13.8cm KIKIS DeliveryService 1989 Eiko Kadono-Studio GhibliN #J320ml
37,https://m.media-amazon.com/images/I/51bEy0J5wLL.jpg,844474,width, Size 12inches /30.5cm DRE 6inches 4.2inches 9.5inches/24.1cm /10.7cm
38,https://m.media-amazon.com/images/I/51cPZYLk2YL.jpg,916768,depth, Size Comparison Height 16 cm Example size Samsung S9+ 6.5 cm 8.5cm 7.5cm
39,https://m.media-amazon.com/images/I/51fAzxNm+cL.jpg,648011,width, E26Medium Base 6.1Inches 4.2 Inches
40,https://m.media-amazon.com/images/I/51fAzxNm+cL.jpg,648011,depth, E26Medium Base 6.1Inches 4.2 Inches
41,https://m.media-amazon.com/images/I/51fAzxNm+cL.jpg,648011,height, E26Medium Base 6.1Inches 4.2 Inches
42,https://m.media-amazon.com/images/I/51jTe522S2L.jpg,564709,maximum_weight_recommendation, GROWS WITH Accommodates children ages 3-6 YOUR CHILD Ai 5-6YRS 4-5YRS 3-4YRS MAX 143Lbs Adjustable height lock
43,https://m.media-amazon.com/images/I/51kdBAv6ImL.jpg,983323,voltage, Rapid Cooling 12000RPM Dual Cooling Fans -Low Noise -8.4 GLOBACT GLOBACT
44,https://m.media-amazon.com/images/I/51kdBAv6ImL.jpg,983323,wattage, Rapid Cooling 12000RPM Dual Cooling Fans -Low Noise -8.4 GLOBACT GLOBACT
45,https://m.media-amazon.com/images/I/51l6c6UcRZL.jpg,411423,item_weight, GANIC thee te iege M'tande 120ge Onigin ttaly ww.baak .
46,https://m.media-amazon.com/images/I/51oaOP8qJlL.jpg,140266,width, 148mm 55.6mm
47,https://m.media-amazon.com/images/I/51oaOP8qJlL.jpg,140266,depth, 148mm 55.6mm
48,https://m.media-amazon.com/images/I/51r7U52rh7L.jpg,860821,item_weight," ENERGYINFORMATION at High Speed Airflow Electricity Use Airflow Efficiency 4,400 45 98 Cubic Feet Watts Cubic Feet Per Per Minute (excludes lights) Minute Per Watt Compare:36""to 48ceiling fans have airflow efficiencies ranging from approximately 71 to 86 cubic feet per minute per watt at high speed Money-Saving Tip: Turn off fan when leaving room."
49,https://m.media-amazon.com/images/I/51r7U52rh7L.jpg,860821,wattage," ENERGYINFORMATION at High Speed Airflow Electricity Use Airflow Efficiency 4,400 45 98 Cubic Feet Watts Cubic Feet Per Per Minute (excludes lights) Minute Per Watt Compare:36""to 48ceiling fans have airflow efficiencies ranging from approximately 71 to 86 cubic feet per minute per watt at high speed Money-Saving Tip: Turn off fan when leaving room."
50,https://m.media-amazon.com/images/I/51r7U52rh7L.jpg,860821,voltage," ENERGYINFORMATION at High Speed Airflow Electricity Use Airflow Efficiency 4,400 45 98 Cubic Feet Watts Cubic Feet Per Per Minute (excludes lights) Minute Per Watt Compare:36""to 48ceiling fans have airflow efficiencies ranging from approximately 71 to 86 cubic feet per minute per watt at high speed Money-Saving Tip: Turn off fan when leaving room."
51,https://m.media-amazon.com/images/I/51tEop-EBJL.jpg,124643,wattage," 7 Colors Lights Change Irregularly 1st press,power on;2nd press, led light off, peace and quiet, operating as quietly as 30dB 3rd press, shut off Detail Display Large air Inlet design, 1200ml big capacity High effiction sterilization ABS material BPA free material filter design"
52,https://m.media-amazon.com/images/I/51vwYpDz2tL.jpg,311997,width, eVICCO 25 cm 35 cm 32cm 100 cn 32 cm 23cm 50cm 90cm
53,https://m.media-amazon.com/images/I/51y79cwGJFL.jpg,200507,width," 13.4"""
54,https://m.media-amazon.com/images/I/51y79cwGJFL.jpg,200507,depth," 13.4"""
55,https://m.media-amazon.com/images/I/51y79cwGJFL.jpg,200507,height," 13.4"""
56,https://m.media-amazon.com/images/I/613P5cxQH4L.jpg,525429,voltage, Model Name Commercial Ice Maker Machine Capacity 0.6 Cubic Feet Wattage 280.0 Watts Voltage 120.0 Volts of Alternating Current
57,https://m.media-amazon.com/images/I/613P5cxQH4L.jpg,525429,wattage, Model Name Commercial Ice Maker Machine Capacity 0.6 Cubic Feet Wattage 280.0 Watts Voltage 120.0 Volts of Alternating Current
58,https://m.media-amazon.com/images/I/614hn5uX9MS.jpg,318770,wattage, Extra 10FT Long Cord
59,https://m.media-amazon.com/images/I/615Cjzm6pyL.jpg,759408,depth," VHOER 7""/18cm 4"" ""/3.5cm 4.3""/11cm"
60,https://m.media-amazon.com/images/I/615Cjzm6pyL.jpg,759408,height," VHOER 7""/18cm 4"" ""/3.5cm 4.3""/11cm"
61,https://m.media-amazon.com/images/I/61C+fwVD6dL.jpg,180726,height, THE PRODUCT IS MADE OF PE MATERIAL STRONGFLEXIBILITY.LONG USETIME 10*30MM AFTERPUTTINGIN THEPROTECTIVE OBJECTIT ALSOPLAYS THEROLEOFSHOCKABSORPTIONTOAVOIDSLIDING
62,https://m.media-amazon.com/images/I/61E2XRNSdYL.jpg,816782,width, 50CM 51CM M E I O 80CM 61CM m Perfect Size
63,https://m.media-amazon.com/images/I/61G8bvWOb-L.jpg,701880,item_weight," In the Box 25mm 134mm Handle x 1 68.3mm Specifications ID 4153 Compatibility Cage, plate, etc. mount for ARRI-style Product Dimensions 134.0  68.3  27.8mm Package Dimensions 155.0 x 81.5x 42.0mm Product Weight. 156.0  5g Package Weight 192.2  5g Material(s) Aluminum Alloy"
64,https://m.media-amazon.com/images/I/61G8bvWOb-L.jpg,701880,maximum_weight_recommendation," In the Box 25mm 134mm Handle x 1 68.3mm Specifications ID 4153 Compatibility Cage, plate, etc. mount for ARRI-style Product Dimensions 134.0  68.3  27.8mm Package Dimensions 155.0 x 81.5x 42.0mm Product Weight. 156.0  5g Package Weight 192.2  5g Material(s) Aluminum Alloy"
65,https://m.media-amazon.com/images/I/61O+Yi09tyL.jpg,507467,voltage, NEW1R20SDESERTTAN SMALLBOTMIGHTY ALL-IN-ONE RECHARGEABLE KEYCHAIN LIGHT 150LUMENS
66,https://m.media-amazon.com/images/I/61lX6IP1SVL.jpg,296366,item_weight," 4ACURRENT.MORE STABLE FORCHARGING IT TAKES ABOUT 9O MINUTES TO FULLY CHARGE THREE BAT. TERIESATONCE OUTPUT: DC 17.6V, 12A (EACH CHANNEL 17.6V, 4A)"
67,https://m.media-amazon.com/images/I/71Qk6hR9-WL.jpg,219211,wattage, 80 80PLUS CERTIFICATE PLUS LONG CONNECTOR CABLES 12CM FAN 500WATTS
68,https://m.media-amazon.com/images/I/71Qk6hR9-WL.jpg,219211,item_weight, 80 80PLUS CERTIFICATE PLUS LONG CONNECTOR CABLES 12CM FAN 500WATTS
69,https://m.media-amazon.com/images/I/71UN1IxKp4L.jpg,254962,item_weight, COMMERCIAL GRADE STEEL Excellent weight capacity
70,https://m.media-amazon.com/images/I/71UN1IxKp4L.jpg,254962,maximum_weight_recommendation, COMMERCIAL GRADE STEEL Excellent weight capacity
71,https://m.media-amazon.com/images/I/71UYDq4nfnL.jpg,525429,voltage, 40LB LARGE CAPACITY 8 Mins Fast Ice Making Freezimer New Design and Premium Quality
72,https://m.media-amazon.com/images/I/71UYDq4nfnL.jpg,525429,wattage, 40LB LARGE CAPACITY 8 Mins Fast Ice Making Freezimer New Design and Premium Quality
73,https://m.media-amazon.com/images/I/71WAjPMQDWL.jpg,525429,voltage, Specifications Ice Maker CN/OFF ELEC aLOCX THE Color :Stainless steel Product dimensions:11.7*14.4*14.8 in Ice Store Capacity : 2.2 Ibs Capacity of making ice : 33 Ibs/day Power Rate:110W Water tank capacity : 3.2L
74,https://m.media-amazon.com/images/I/71WAjPMQDWL.jpg,525429,wattage, Specifications Ice Maker CN/OFF ELEC aLOCX THE Color :Stainless steel Product dimensions:11.7*14.4*14.8 in Ice Store Capacity : 2.2 Ibs Capacity of making ice : 33 Ibs/day Power Rate:110W Water tank capacity : 3.2L
75,https://m.media-amazon.com/images/I/71afEPoRGsL.jpg,701880,maximum_weight_recommendation," canon PHOTO ACCESSORIES Deluxe Ball Head 10 T-0007 SPECIFICATIONS: OHeavy-duty metal construction ODesigned for a wide range of photo enthusiasts Single-action large handle for fast and precise positioning Exceptionally smooth rotation and positive locking handle lncorporates1/4""tripodscrew Weight:1.1lbs Color:Black"
76,https://m.media-amazon.com/images/I/71afEPoRGsL.jpg,701880,item_weight," canon PHOTO ACCESSORIES Deluxe Ball Head 10 T-0007 SPECIFICATIONS: OHeavy-duty metal construction ODesigned for a wide range of photo enthusiasts Single-action large handle for fast and precise positioning Exceptionally smooth rotation and positive locking handle lncorporates1/4""tripodscrew Weight:1.1lbs Color:Black"
77,https://m.media-amazon.com/images/I/71eCfiIG-AL.jpg,275506,item_weight," Sports headphones You Can't shakeit off when you're exercising clip-on type Not into the ear canal More comfortable to wear Big Horn High moving circle, surging sound field Asingle4.7g Bluetooth 5.3 Sync sound effects Lightweight design Chip transfer speed The sound is synchronized increased by 90% with the game sound 24h 480h ~ 1h Extralong endurance Extra long standby Smart charging (used with charging cabin) (used with charging cabin)"
78,https://m.media-amazon.com/images/I/71fWddA0+yL.jpg,318770,wattage, Max 60w Power Delivery Fast charging your UsB-C laptop 100%Charged 20V/3A (Max)
79,https://m.media-amazon.com/images/I/71ta6wY3HtL.jpg,983323,voltage, OR AC cable 85-265v100w Heatsink and chip 12V-1A Power 12V-1A Power Power adapter supply adapter or LED drive Assembly Display Fan drive
80,https://m.media-amazon.com/images/I/71ta6wY3HtL.jpg,983323,wattage, OR AC cable 85-265v100w Heatsink and chip 12V-1A Power 12V-1A Power Power adapter supply adapter or LED drive Assembly Display Fan drive
81,https://m.media-amazon.com/images/I/71v+pim0lfL.jpg,529489,item_weight, Product Information Specifications: Material: Premium Beech Wood Size: 50*13.5*11cm/ 19.7*13.5*4.1inch Rod Diameter: 3.8cm / 1.5inch Weight: 2.1KG / 4.6lbs Load Bearing: 300KG / 660lbs Large Size: 16.9in/43cm -4.1in/10.5cm- Yamyshine 19.7in/50cm 5.3in/13.5cm
82,https://m.media-amazon.com/images/I/71v+pim0lfL.jpg,529489,maximum_weight_recommendation, Product Information Specifications: Material: Premium Beech Wood Size: 50*13.5*11cm/ 19.7*13.5*4.1inch Rod Diameter: 3.8cm / 1.5inch Weight: 2.1KG / 4.6lbs Load Bearing: 300KG / 660lbs Large Size: 16.9in/43cm -4.1in/10.5cm- Yamyshine 19.7in/50cm 5.3in/13.5cm
83,https://m.media-amazon.com/images/I/81IYdOV0mVL.jpg,721522,maximum_weight_recommendation, homecare Applicable to mu tiple equipment Ruedamann Wheelchairs Cars Scooters Cleaning robot Capacity: 1500LBS
84,https://m.media-amazon.com/images/I/81PG3ea0MOL.jpg,240413,voltage, R NEMIX RAM 16GB (2 x 8GB) DDR4 3200MHz PC4-25600 ECC UDIMM  ATTENTION ELECTROSTATIC SENSITIVE DEVICE ME25600-818 LIFETIME WARRANTY BB. B.
85,https://m.media-amazon.com/images/I/81aZ2ozp1GL.jpg,805279,maximum_weight_recommendation, 500LBS SALPINE
86,https://m.media-amazon.com/images/I/81qUmRUUTTL.jpg,603688,maximum_weight_recommendation, ENJOY SLEDDINGFUN WITH YOUR FAMILIES&FRIENDS 350 LBS <350 LBS
87,https://m.media-amazon.com/images/I/81qUmRUUTTL.jpg,603688,item_weight, ENJOY SLEDDINGFUN WITH YOUR FAMILIES&FRIENDS 350 LBS <350 LBS
